1784978727	esp32flight: interesting aircraft	UAE51N (A388) watchlist, 36000 ft, 68.2 km away
1784978774	esp32flight: interesting aircraft	UAE51N (A388) watchlist, 36000 ft, 61.3 km away
1784978774	esp32flight: interesting aircraft	48d824 (AN28) military, 3100 ft, 68.9 km away
1784979340	esp32flight: interesting aircraft	UAE83M (A388) watchlist, 36000 ft, 174.7 km away
1784979378	esp32flight: interesting aircraft	UAE83M (A388) watchlist, 36000 ft, 182.2 km away
1784980126	esp32flight: interesting aircraft	RRR6988 (C17) military, 35000 ft, 22.0 km away
1784980126	esp32flight: interesting aircraft	UAE72V (A388) watchlist, 1425 ft, 42.6 km away
1784980126	esp32flight: interesting aircraft	QTR003 (A388) watchlist, 9000 ft, 50.1 km away
1784984925	esp32flight: interesting aircraft	@@@@@@@@ (AN28) military, 3600 ft, 59.7 km away
1784986396	esp32flight: interesting aircraft	48d824 (AN28) military, 2900 ft, 53.8 km away
